Name,Category,Tags,New
Gravity ,Apparel,"Men's Wear,Clothing,Branded,Party Wear,Casual Wear,Leather,Jumpsuit,Jeans,Sweatshirt,T Shirt,Shirt,Sweater,Jacket,Top,Bottoms,Sleepwear,Trousers,Innerwear,,Capris,Shorts,Skirt,Shrug,Coat,Blazer,Waistcoat,SSSkinny Jeans,Distressed Jeans,Highwaist Jeans,Dungaree,Cotton,Silk,Gravity ",Fashion
Apollo Hardware & Ceramic,Home Improvement,"Designer Tile,Sanitary Ware,Ceramic,Stone,Granite,Electrical Ceramic,Magnetic Ceramic,Abrasive Ceramic,Apolo Hardware & Ceramic",Bath & Fittings
Brilliant Collection,Accessories,"Beauty Product,Cosmetic,Accessories,Bag,Watch,Phone Case,Selfie Stick,Tripod,Belt,Sunglass,Umbrella,Wallet,Brilliant Collection,International",Accessories
Uth Accessories,Accessories,"Accessories,Bag,Watch,Phone Case,Selfie Stick,Tripod,Belt,Sunglass,Umbrella,Wallet,Uth Accessories",Accessories
Central studio,Home Improvement,"Laminate,Wallpaper,Highlighter,Wooden Flooring,Vinyl Flooring, Charcoal Panel,Glass Film,Central Studio",Laminates & Wallpaper
Pallavi Ceramic & Granite,Home Improvement,"Designer Tile,Sanitary Ware,Stone,Granite,Ceramic,Pallavi Ceramic & Granite",Bath & Fittings
Swagat Ply,Home Improvement,"Plywood,Laminate,Wallpapers,Wooden Flooring,Floor Art,Home Decor,Royal Touch,Swgat Ply",Laminates & Wallpaper
Arihant Glass,Home Improvement,"Glass,Mirror,Name Plate,Decorative Glass,Designer Glass,Arihant Glass",Glass
Arihant Plywood,Home Improvement,"Plywood,Laminate,Wallpapers,Wooden Flooring,Floor Art,Home Decor,Royal touch,Arihant,Arihant Plywood ",Laminates & Wallpaper
HariOm Interiors,Furniture,"Kitchen Furniture,Table,Chair,Desk,Sofa,Leather Sofa,Cupboard,Dining,Bed,Wardrobe,Office Chair,Office Table,Coffee Table,Computer Table,Study Table,Collapsible Wardrobe,Dressing Table,Bookshelves,Recliner,Home Benches,Shoe Stand,Hariom Interiors",Furniture
Konwood interiors,Home Improvement,"Interior Designing,Home Decoration,Kitchen Interior,Showpiece,Artificial Flower,Gift Item,Konwood Interiors",Art & Decor
Samrat,Bags,"Handbag,Sling bag,Clutches,tote,Messenger Bag,Shoulder Bag,Backpack,Waist Pouch,Antistatic bag,Leather Bag,Wallet,Hobo Bag,Satchel,Bucket bag,Bowler Bag,Wristlet,Designer Pouch,Saddle Bag,Miniaudiere,Drawstring Bag,Make Up Bag,Foldover Bag,Phone Bag,Baguette Bag,Barrel Bag,Fanny Pack,Kelly Bag,Travelling Bag,Vip,America Tourists,Feggi,Skyline,Samrat",Fashion
Jhaveri Sports & Gifts,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoe,Jhaveri Sports & Gifts",Sports
Paramount Sports And Nutritional,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoes,Paramount,Paramount Sports And Nutritional ",Sports
Paramount Sports And Nutritional ,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoes,Paramount,Paramount Sports And Nutritional ",Sports
Roop Milan,Accessories,"Saree,Fancy Saree,Regular Saree,Wedding Collection,Men's Wear,Kurta,Kurti,Lehenga,Ghagra,Sherwani,Roop Milan",Fashion
Royal Sports,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoe,Royal Sports",Sports
Stylocus,Bags,"Handbag,Sling bag,Clutches,tote,Messenger Bag,Shoulder Bag,Backpack,Waist Pouch,Antistatic bag,Leather Bag,Wallet,Hobo Bag,Satchel,Bucket bag,Bowler Bag,Wristlet,Designer Pouch,Saddle Bag,Miniaudiere,Drawstring Bag,Make Up Bag,Foldover Bag,Phone Bag,Baguette Bag,Barrel Bag,Fanny Pack,Kelly Bag,Travelling Bag,Stylocus",Sports
Total Sports And Fitness Vashi,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoe,Total Sports And Fitness ",Sports
Esbeda Bags,Bags,"Handbag,Sling bag,Clutches,tote,Messenger Bag,Shoulder Bag,Backpack,Waist Pouch,Antistatic bag,Leather Bag,Wallet,Hobo Bag,Satchel,Bucket bag,Bowler Bag,Wristlet,Designer Pouch,Saddle Bag,Miniaudiere,Drawstring Bag,Make Up Bag,Foldover Bag,Phone Bag,Baguette Bag,Barrel Bag,Fanny Pack,Kelly Bag,Travelling Bag,Esbeda,Esbeda Bags",Fashion
Esbeda Bags,Bags,"Handbag,Sling bag,Clutches,tote,Messenger Bag,Shoulder Bag,Backpack,Waist Pouch,Antistatic bag,Leather Bag,Wallet,Hobo Bag,Satchel,Bucket bag,Bowler Bag,Wristlet,Designer Pouch,Saddle Bag,Miniaudiere,Drawstring Bag,Make Up Bag,Foldover Bag,Phone Bag,Baguette Bag,Barrel Bag,Fanny Pack,Kelly Bag,Travelling Bag,Esbeda,Esbeda Bags",Fashion
Kashish Furnishing,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Kashish Furnishing",Furnishing
Shree Laxmi Interiors,Furniture,"Kitchen Furniture,Table,Chair,Desk,Sofa,Leather Sofa,Cupboard,Dining,Bed,Wardrobe,Office Chair,Office Table,Coffee Table,Computer Table,Study Table,Collapsible Wardrobe,Dressing Table,Bookshelves,Recliner,Home Benches,Shoe Stand,Office Chair,Shree Laxmi Interiors,In-House brand",Furniture
Kushion Kraft,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Office Seating,Kushion Kraft,Sealy,Magniflex,In-house",Furnishing
Manoj Cermaic Ltd,Home Improvement,"Designer Tile,Sanitary Ware,Stone,Granite,Ceramic,Manoj Cermaic Ltd,Redulex Plaster,Block Join Motor,MCPL,Jaquar,Roka",Bath & Fittings
Manoj Cermaic Ltd,Home Improvement,"Designer Tile,Sanitary Ware,Stone,Granite,Ceramic,Manoj Cermaic Ltd,Redulex Plaster,Block Join Motor,MCPL,Jaquar,Roka",Bath & Fittings
Proserve Marketing LLP,Lights,"Ceiling Light,LED Lighting,Light Art,Stage Light,Fan Light,Street Light,Designer Light,Architecture Light,Elegant Light,Decorative Light,Wall Mounted Fixture,LED Downlight,Chandelier,Accent Lighting,Ambient Lighting,Rope Lighting,Niche Lighting,Proserve Marketing LLP,Philips,Philips Smart Light Hub",Lighting
1st beauty,Beauty,"Cosmetic,Skin Care,Make Up,Nail Art,Hair Care,Body Care,Fragrance,Body Soap,Hair Styling Equipment,Hair Accessories,Men's Grooming,Kajal,Eyeliner,Lipstick,Compact ,Makeup,Brush,Blush,Highlighter,Foundation,Eye Palette,Lip Liner,Eyeshadow,Bronzer,Lip Balm,Mascara,Cleanser,Scrub,Moisturizer,Anti Aging Cream,Night Cream,Sun Scream,Hairspray,Beard Oil,Trimer,Shaving Cream,Hair Dryer,Straightener,Curler,Nail Paint,Maybelline,Lakme,Manish Malhotra,Loreal,Avon,VLCC,Elle 18,Garnier,Cheryl's,Shahnaz Husain,Bodyshop,Chambor,Tresemme,Kaya,Vurv,Aroma Magic,Nivea,Zuska,Richfeel,Neutrogena,Olina,Ulric De Varens,Lotus,Biotique,Brut,Jorda,Bourjois,AloDerma PH,Revlon,Sugar,Schwarzkopf,Olay,NYX,1st Beauty",Beauty
New Beauty Centre,Beauty,"Cosmetic,Skin Care,Make Up,Nail Art,Hair Care,Body Care,Fragrance,Body Soap,Hair Styling Equipment,Hair Accessories,Men's Grooming,Kajal,Eyeliner,Lipstick,Compact ,Makeup,Brush,Blush,Highlighter,Foundation,Eye Palette,Lip Liner,Eyeshadow,Bronzer,Lip Balm,Mascara,Cleanser,Scrub,Moisturizer,Anti Aging Cream,Night Cream,Sun Scream,Hairspray,Beard Oil,Trimer,Shaving Cream,Hair Dryer,Straightener,Curler,Nail Paint,Maybelline,Lakme,Manish Malhotra,Loreal,Avon,VLCC,Elle 18,Garnier,Cheryl's,Shahnaz Husain,Bodyshop,Chambor,Tresemme,Kaya,Vurv,Aroma Magic,Nivea,Zuska,Richfeel,Neutrogena,Olina,Ulric De Varens,Lotus,Biotique,Brut,Jorda,Bourjois,AloDerma PH,Revlon,Sugar,Schwarzkopf,Olay,NYX,New Beauty Centre",Beauty
Sayonara,Travel,"Wheeled Backpack,Luggage,Rolling Suitcase,Suitcase,Trolley Bag,Rucksack,Travel Toes,Duffle Bag,Hardside Luggage,Laptop Bag,Garment Bag,Vintage Suitcase,Travel Trunk,Beach Bag,Camera Case Bag,Victorinox,Swiss Gear,Delsey,Itluggage,Eminent,Lipault,Sayonara,Samsonite,American Tourister",Accessories
Nova Veneer,Home Improvement,"Plywood,Veneer,Timber,Laminate,MDF,Wooden Flooring,Wallpaper,Granite,In-House brand,Nova Veneer",Laminates & Wallpaper
The Beauty Shop,Beauty,"Cosmetic,Skin Care,Make Up,Nail Art,Hair Care,Body Care,Fragrance,Body Soap,Hair Styling Equipment,Hair Accessories,Men's Grooming,Kajal,Eyeliner,Lipstick,Compact ,Makeup,Brush,Blush,Highlighter,Foundation,Eye Palette,Lip Liner,Eyeshadow,Bronzer,Lip Balm,Mascara,Cleanser,Scrub,Moisturizer,Anti Aging Cream,Night Cream,Sun Scream,Hairspray,Beard Oil,Trimer,Shaving Cream,Hair Dryer,Straightener,Curler,Nail Paint,Maybelline,Lakme,Manish Malhotra,Loreal,Avon,VLCC,Elle 18,Garnier,Cheryl's,Shahnaz Husain,Bodyshop,Chambor,Tresemme,Kaya,Vurv,Aroma Magic,Nivea,Zuska,Richfeel,Neutrogena,Olina,Ulric De Varens,Lotus,Biotique,Brut,Jorda,Bourjois,AloDerma PH,Revlon,Sugar,Schwarzkopf,Olay,NYX,The Beauty Shop",Beauty
Beauty Centre,Beauty,"Cosmetic,Skin Care,Make Up,Nail Art,Hair Care,Body Care,Fragrance,Body Soap,Hair Styling Equipment,Hair Accessories,Men's Grooming,Kajal,Eyeliner,Lipstick,Compact ,Makeup,Brush,Blush,Highlighter,Foundation,Eye Palette,Lip Liner,Eyeshadow,Bronzer,Lip Balm,Mascara,Cleanser,Scrub,Moisturizer,Anti Aging Cream,Night Cream,Sun Scream,Hairspray,Beard Oil,Trimer,Shaving Cream,Hair Dryer,Straightener,Curler,Nail Paint,Maybelline,Lakme,Manish Malhotra,Loreal,Avon,VLCC,Elle 18,Garnier,Cheryl's,Shahnaz Husain,Bodyshop,Chambor,Tresemme,Kaya,Vurv,Aroma Magic,Nivea,Zuska,Richfeel,Neutrogena,Olina,Ulric De Varens,Lotus,Biotique,Brut,Jorda,Bourjois,AloDerma PH,Revlon,Sugar,Schwarzkopf,Olay,NYX,Beauty Centre",Beauty
Core Light,Lights,"Ceiling Light,LED Lighting,Light Art,Stage Light,Fan Light,Street Light,Designer Light,Architecture Light,Elegant Light,Decorative Light,Wall Mounted Fixture,LED Downlight,Chandelier,Accent Lighting,Ambient Lighting,Rope Lighting,Niche Lighting,Drivers LED,Halogen Light LED,Light Panels LED,Light Strips LED,Track Light,LED Wall Light,LED Wall Washer Light,Light Collection,Neo Flex Strips Outdoor Light,Spot Light,Core Light,Litex,In-House Brand",Lights
Carpet Darbar,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Carpet Darbar",Furnishing
Classic Bath Hub,Home Improvement,"Tile,Bathroom Fitting,Sanitary Ware,Home Decor,Classic Bath Hub,Bath Hub",Bath & Fittings
Meeshka lighting studio,Lights,"Ceiling Light,LED Lighting,Light Art,Stage Light,Fan Light,Street Light,Designer Light,Architecture Light,Elegant Light,Decorative Light,Wall Mounted Fixture,LED Downlight,Chandelier,Accent Lighting,Ambient Lighting,Rope Lighting,Niche Lighting,Meeshka lighting studio",Furnishing
New Jalaram Electric And Lighting Plaza,Lights,"Ceiling Light,LED Lighting,Light Art,Stage Light,Fan Light,Street Light,Designer Light,Architecture Light,Elegant Light,Decorative Light,Wall Mounted Fixture,LED Downlight,Chandelier,Accent Lighting,Ambient Lighting,Rope Lighting,Niche Lighting,New Jalaram Electric And Lighting Plaza,Lighting Plaza",Furnishing
Parshali Foam & Furnishing,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Parshali Foam & Furnishing,Kurl-On Mattresses",Furnishing
Prashali Enterprise,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Parshali Foam & Furnishing,Kurl-On Mattresses",Furnishing
Vimal Mattresses,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Vimal Mattresses,Kurl-On Mattresses",Furnishing
Gada Estates Pvt. Ltd,Apparel,"Designer Clothes,Branded,Wedding Wear,Men's Wear,Sherwani,Kurta,Saree,Fancy Saree,regular Saree,Wedding Collection, Bridal Wear,Kurti,Lehenga,Dress Material,Ghagra,Gada Estates Pvt. Ltd,Panihari,In-house Brand",Fashion
Gada Estates Pvt. Ltd,Apparel,"Designer Clothes,Branded,Wedding Wear,Men's Wear,Sherwani,Kurta,Saree,Fancy Saree,regular Saree,Wedding Collection, Bridal Wear,Kurti,Lehenga,Dress Material,Ghagra,Gada Estates Pvt. Ltd,Panihari,In-house Brand",Fashion
Plezer,Apparel,"Designer Clothes,Branded,Wedding Wear,Men's Wear,Sherwani,Kurta,Saree,Fancy Saree,regular Saree,Wedding Collection,Kurti,Lehenga,Dress Material,Ghagra,Silk,In-house brand,Plezer",Fashion
Aatarah By Jagrrutis,Apparel,"Designer Clothes,Branded,Wedding Wear,Men's Wear,Sherwani,Kurta,Saree,Fancy Saree,regular Saree,Wedding Collection, Bridal Wear,Kurti,Lehenga,Dress Material,Ghagra,Silk,Aatarah By Jagrruti's,In-house Brand",Fashion
Dan Sports & Apparel Pvt. Ltd,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoe,Cricket Bat,Cricket Ball,Kit,Dan Sports & Apparel Pvt. Ltd,SG,SS,Gray Nicolls,Gunn & Moore,Puma,Kookaburra,Ca,Malik,Crickstore",Sports
Beauty Planet,Beauty,"Cosmetic,Skin Care,Make Up,Nail Art,Hair Care,Body Care,Fragrance,Body Soap,Hair Styling Equipment,Hair Accessories,Men's Grooming,Kajal,Eyeliner,Lipstick,Compact ,Makeup,Brush,Blush,Highlighter,Foundation,Eye Palette,Lip Liner,Eyeshadow,Bronzer,Lip Balm,Mascara,Cleanser,Scrub,Moisturizer,Anti Aging Cream,Night Cream,Sun Scream,Hairspray,Beard Oil,Trimer,Shaving Cream,Hair Dryer,Straightener,Curler,Nail Paint,Beauty Planet,Casa,Hairpro,Tweex,Art Fx,MYN,Bio Spa,Maybelline,Chambor,Lakme,Loreal",Beauty
Beauty Planet,Beauty,"Cosmetic,Skin Care,Make Up,Nail Art,Hair Care,Body Care,Fragrance,Body Soap,Hair Styling Equipment,Hair Accessories,Men's Grooming,Kajal,Eyeliner,Lipstick,Compact ,Makeup,Brush,Blush,Highlighter,Foundation,Eye Palette,Lip Liner,Eyeshadow,Bronzer,Lip Balm,Mascara,Cleanser,Scrub,Moisturizer,Anti Aging Cream,Night Cream,Sun Scream,Hairspray,Beard Oil,Trimer,Shaving Cream,Hair Dryer,Straightener,Curler,Nail Paint,Beauty Planet,Casa,Hairpro,Tweex,Art Fx,MYN,Bio Spa,Maybelline,Chambor,Lakme,Loreal",Beauty
Tectonic Fitness,Fitness,"Sports, gym equipments, badminton rackets, cricket bat, protein powder, basket ball, gloves, swim suits, weights, bottles, gym cycle",Fitness@home
Hermosa Casa ,Home Improvement,"Gift,show piece, crockery set, delicates, jar, vase, mug, bottle, watche, lamp, tea pot set, gift boxe, home decor accessory, artifacts",Art & Decor
Jaipur Rugs,Furnishing ,"Rug, rugs, Handloom, carpet, designer rug",Carpet & Rugs
Pashmina ,Apparel,"Pashmina, Shawl, stoles",Fashion
Sunbeam Bags Shop,Bags,"Handbag,Sling bag,Clutches,tote,Messenger Bag,Shoulder Bag,Backpack,Waist Pouch,Antistatic bag,Leather Bag,Wallet,Hobo Bag,Satchel,Bucket bag,Bowler Bag,Wristlet,Designer Pouch,Saddle Bag,Miniaudiere,Drawstring Bag,Make Up Bag,Foldover Bag,Phone Bag,Baguette Bag,Barrel Bag,Fanny Pack,Kelly Bag,Sunbeam Bags Shoppe,Sunbeam",Fashion
Anand Home store,Home Improvement,"Kitchen Equipments,Crockery,Appliances,Kitchen Electrics,Modular,Kitchen Gift Items,Steel,Cutlery,Beauty Product,Anand Home Store",Kitchen
Anand Steel,Home Improvement,"Kitchen Equipments,Crockery,Appliances,Kitchen Electrics,Modular,Kitchen Gift Items,Steel,Cutlery,Beauty Product,Anand Steel",Kitchen
aAvakar Exclusively Furnishings Fabrics,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,D'Decor,Aavkar Exclusively Furnishings Fabrics",Furnishing
Manav Studio,Apparel,"Designer Clothes,Branded,Wedding Wear,Men's Wear,Sherwani,Kurta,Saree,Fancy Saree,regular Saree,Wedding Collection,Kurti,Lehenga,Dress Material,GhagraManav Studio",Fashion
Floor Art,Home Improvement,"Designer Flooring,Artificial Flooring,Grass mats,Wallpaper Flooring,Carpet,Pvc Flooring,Roller Vertical,Wooden Flooring,Floor Matting,Floor Art",Laminates & Wallpaper
Monark Plywood,Home Improvement,"Wood Lamination,Highlighter Wallpaper,Wooden Flooring,Wall Covering,Designer Plywood,Monak,Monark Plywood",Laminates & Wallpaper
FabMart Furnishing Gallery,Home Improvement,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Fabmart Furnishing Gallery",Furnishing
Ideal Furniture And Modular Kitchens,Kitchen,"Kitchen Furniture,Table,Chair,Desk,Sofa,Leather Sofa,Cupboard,Dining,Bed,Wardrobe,Office Chair,Office Table,Coffee Table,Computer Table,Study Table,Collapsible Wardrobe,Dressing Table,Bookshelves,Recliner,Home Benches,Shoe Stand,Ideal Furniture And Modular Kitchens",Furniture
D,Fitness,"Cycle,Sport Cycle,Ledies Cycle,Folding Cycle, Off-Road Cycle,Imperial,Imperial Cycles",Fitness@home
Imperial Cycles,Fitness,"Cycle,Sport Cycle,Ledies Cycle,Folding Cycle, Off-Road Cycle,Imperial,Imperial Cycles",Fitness@home
Imperial Cycles,Fitness,"Cycle,Sport Cycle,Ledies Cycle,Folding Cycle, Off-Road Cycle,Imperial,Imperial Cycles",Fitness@home
Beauty Furnishing Fabrics,Furnishing,"Carpet,Rug,Blind,Bedsheet,Curtain,Sofa Fabric,Pillow,Blankets,Grass Mat,Carpet Runner,Mattress,Beauty Furnishing Fabrics",Furnishing
Fine Furniture,Furniture,"Kitchen Furniture,Table,Chair,Desk,Sofa,Leather Sofa,Cupboard,Dining,Bed,Wardrobe,Office Chair,Office Table,Coffee Table,Computer Table,Study Table,Collapsible Wardrobe,Dressing Table,Bookshelves,Recliner,Home Benches,Shoe Stand,Fine Furniture",Furniture
Little Long,Furniture,"Kitchen Furniture,Table,Chair,Desk,Sofa,Leather Sofa,Cupboard,Dining,Bed,Wardrobe,Office Chair,Office Table,Coffee Table,Computer Table,Study Table,Collapsible Wardrobe,Dressing Table,Bookshelves,Recliner,Home Benches,Shoe Stand,Little Long",Furniture
S9 Helmets And Accessories,Accessories,"Bike Accessories,Helmet,Riding Glove,Rain Gear,Protectors,Storage Box,Tool Kit,Padded Shorts,S9 Helmets And Accessories",Accessories
Gear Up Sports,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoe,Gear Up Sports",Sports
Meraki Art For Every Soul,Home Improvement,"Home Decor,Clock,Showpiece,Wall Decoration,Artificial Flower,Interior Design,Meraki Art For Every Soul ",Art & Decor
Meraki Art For Every Soul Thane,Home Improvement,"Home Decor,Clock,Showpiece,Wall Decoration,Artificial Flower,Interior Design,Meraki Art For Every Soul ",Art & Decor
Total Sports And Fitness Borivali,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoe,Total Sports And Fitness ",Sports
Total Sports And Fitness Dombivali,Sports,"Sport Equipment,Sport T-Shirt,Sportswear,Trophy,Cricket,Football,Basketball,Tennis,Badminton,Yoga Wear,Gym Wear,Tank Top,Sweatpant,Capri Pant,Sweat Short,Racerbacks,Sport Trousers,Equipment,Health,Sport Shoe,Total Sports And Fitness ",Sports
B.M.Shah & Co.,Home Improvement,"Home Decor,Fitting,Bathroom Fitting,Sanitary Wear,Interior Decor,B.M.Shah & Co.",Bath & Fittings
godrej & boyce mfg. co. ltd.,Furniture,"Kitchen Furniture,Table,Chair,Desk,Sofa,Leather Sofa,Cupboard,Dining,Bed,Wardrobe,Office Chair,Office Table,Coffee Table,Computer Table,Study Table,Collapsible Wardrobe,Dressing Table,Bookshelves,Recliner,Home Benches,Shoe Stand,Godrej Interio-Furniture Store & Modular Kitchen Gallery",Furniture
godrej & boyce mfg. co. ltd.,Furniture,"Kitchen Furniture,Table,Chair,Desk,Sofa,Leather Sofa,Cupboard,Dining,Bed,Wardrobe,Office Chair,Office Table,Coffee Table,Computer Table,Study Table,Collapsible Wardrobe,Dressing Table,Bookshelves,Recliner,Home Benches,Shoe Stand,Godrej Interio-Furniture Store & Modular Kitchen Gallery",Furniture
Springwel Mattresses Pvt. Ltd ,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
Springwel Mattresses Pvt. Ltd.,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
Springwel Mattresses Pvt Ltd.,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
Springwel Mattresses Pvt Ltd.,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
Springwel Mattresses Pvt Ltd.,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
Springwel Mattresses Pvt Ltd.,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
Springwel Mattresses Pvt Ltd.,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
Springwel Mattresses Pvt Ltd.,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
Springwel Mattresses Pvt Ltd.,Furnishing ,"Mattress,pillow,bed,spring mattress,bonded mattress,PUF Mattress,latex mattress,memory foam mattress,luxury mattress,accessories",Mattress
hermosa casa,Home Improvement,"Gift,show piece,crockery set,delicates,jar,vase,mug,bottle,watch,lamp,tea pot set,gift boxe,home decor accessory,artifacts",Art & Decor
pashmina,Apparel,"Pashmina,Shawl,stoles",Fashion
Jaipur Rugs,Furnishing,"Rug, rugs,Handloom, carpet, designer rug",Carpets & Rugs
Tectonic Fitness,Fitness,"Sports,gym equipments,badminton rackets, cricket bat, protein powder, basket ball, gloves, swim suits, weights, bottles, gym cycle",Fitness@home
Preety's,Apparel,"Designer dress, Gowns, skirts, chudidars, ruffle gowns, panetar, chaniya choli, lehenga, silk, bandhani,",Fashion
EVEUN - Your Luxury Lifestyle Store,Apparel,"Ethnic Dress, Gowns, Designer suits, Lehenga, Chaniya Choli, Panetar, Salwar Kameez, Ruffle gowns, Bandhani, Silk",Fashion
Stex Sports,Fitness,"Cardio Equipment, Commercial Strength Equipment, Dumbells, Plates and Rods, Battle Ropes and Cross fit Accessories, Cross Fit Cages,Medical Treadmill,Solid Gym Ball With Hand Pump,Gym Equipment, Health Equipments & Sports Accessories, Fitness Supplements,Smith Machines, Cable crossover machines, Power cage, Functional training multigym, home gyms, multi gyms,hex dumbells, round dumbells, bumber plates, rods, olympic rods, barbell rods, barbells,yoga mats, foam rollers, trigger point foam rollers, fitness gloves, bosu ball, gym ball, resistance tube sets,Exxentric Kbox",Fitness@home
Stex Sports,Fitness,"Cardio Equipment, Commercial Strength Equipment, Dumbells, Plates and Rods, Battle Ropes and Cross fit Accessories, Cross Fit Cages,Medical Treadmill,Solid Gym Ball With Hand Pump,Gym Equipment, Health Equipments & Sports Accessories, Fitness Supplements,Smith Machines, Cable crossover machines, Power cage, Functional training multigym, home gyms, multi gyms,hex dumbells, round dumbells, bumber plates, rods, olympic rods, barbell rods, barbells,yoga mats, foam rollers, trigger point foam rollers, fitness gloves, bosu ball, gym ball, resistance tube sets,Exxentric Kbox",Fitness@home
Stex Sports,Fitness,"Cardio Equipment, Commercial Strength Equipment, Dumbells, Plates and Rods, Battle Ropes and Cross fit Accessories, Cross Fit Cages,Medical Treadmill,Solid Gym Ball With Hand Pump,Gym Equipment, Health Equipments & Sports Accessories, Fitness Supplements,Smith Machines, Cable crossover machines, Power cage, Functional training multigym, home gyms, multi gyms,hex dumbells, round dumbells, bumber plates, rods, olympic rods, barbell rods, barbells,yoga mats, foam rollers, trigger point foam rollers, fitness gloves, bosu ball, gym ball, resistance tube sets,Exxentric Kbox",Fitness@home
Stex Sports,Fitness,"Cardio Equipment, Commercial Strength Equipment, Dumbells, Plates and Rods, Battle Ropes and Cross fit Accessories, Cross Fit Cages,Medical Treadmill,Solid Gym Ball With Hand Pump,Gym Equipment, Health Equipments & Sports Accessories, Fitness Supplements,Smith Machines, Cable crossover machines, Power cage, Functional training multigym, home gyms, multi gyms,hex dumbells, round dumbells, bumber plates, rods, olympic rods, barbell rods, barbells,yoga mats, foam rollers, trigger point foam rollers, fitness gloves, bosu ball, gym ball, resistance tube sets,Exxentric Kbox",Fitness@home
